cod_distr	nome_distr	ano	sexo	Idade	populacao
80002	Alto de Pinheiros	2000	Homens	00 a 04	951
80002	Alto de Pinheiros	2000	Homens	05 a 09	1083
80002	Alto de Pinheiros	2000	Homens	10 a 14	1299
80002	Alto de Pinheiros	2000	Homens	15 a 19	1541
80002	Alto de Pinheiros	2000	Homens	20 a 24	1928
80002	Alto de Pinheiros	2000	Homens	25 a 29	1764
80002	Alto de Pinheiros	2000	Homens	30 a 34	1425
80002	Alto de Pinheiros	2000	Homens	35 a 39	1511
80002	Alto de Pinheiros	2000	Homens	40 a 44	1431
80002	Alto de Pinheiros	2000	Homens	45 a 49	1387
80002	Alto de Pinheiros	2000	Homens	50 a 54	1238
80002	Alto de Pinheiros	2000	Homens	55 a 59	1083
80002	Alto de Pinheiros	2000	Homens	60 a 64	1062
80002	Alto de Pinheiros	2000	Homens	65 a 69	809
80002	Alto de Pinheiros	2000	Homens	70 a 74	669
80002	Alto de Pinheiros	2000	Homens	75 e +	721
80002	Alto de Pinheiros	2000	Mulheres	00 a 04	925
80002	Alto de Pinheiros	2000	Mulheres	05 a 09	1014
80002	Alto de Pinheiros	2000	Mulheres	10 a 14	1217
80002	Alto de Pinheiros	2000	Mulheres	15 a 19	1681
80002	Alto de Pinheiros	2000	Mulheres	20 a 24	2353
80002	Alto de Pinheiros	2000	Mulheres	25 a 29	2117
80002	Alto de Pinheiros	2000	Mulheres	30 a 34	1863
80002	Alto de Pinheiros	2000	Mulheres	35 a 39	1993
80002	Alto de Pinheiros	2000	Mulheres	40 a 44	1900
80002	Alto de Pinheiros	2000	Mulheres	45 a 49	1876
80002	Alto de Pinheiros	2000	Mulheres	50 a 54	1727
80002	Alto de Pinheiros	2000	Mulheres	55 a 59	1434
80002	Alto de Pinheiros	2000	Mulheres	60 a 64	1312
80002	Alto de Pinheiros	2000	Mulheres	65 a 69	1001
80002	Alto de Pinheiros	2000	Mulheres	70 a 74	826
80002	Alto de Pinheiros	2000	Mulheres	75 e +	1372
80002	Alto de Pinheiros	2005	Homens	00 a 04	922
80002	Alto de Pinheiros	2005	Homens	05 a 09	997
80002	Alto de Pinheiros	2005	Homens	10 a 14	1175
80002	Alto de Pinheiros	2005	Homens	15 a 19	1370
80002	Alto de Pinheiros	2005	Homens	20 a 24	1655
80002	Alto de Pinheiros	2005	Homens	25 a 29	1607
80002	Alto de Pinheiros	2005	Homens	30 a 34	1529
80002	Alto de Pinheiros	2005	Homens	35 a 39	1446
80002	Alto de Pinheiros	2005	Homens	40 a 44	1385
80002	Alto de Pinheiros	2005	Homens	45 a 49	1452
80002	Alto de Pinheiros	2005	Homens	50 a 54	1308
80002	Alto de Pinheiros	2005	Homens	55 a 59	1190
80002	Alto de Pinheiros	2005	Homens	60 a 64	1069
80002	Alto de Pinheiros	2005	Homens	65 a 69	849
80002	Alto de Pinheiros	2005	Homens	70 a 74	752
80002	Alto de Pinheiros	2005	Homens	75 e +	943
80002	Alto de Pinheiros	2005	Mulheres	00 a 04	911
80002	Alto de Pinheiros	2005	Mulheres	05 a 09	954
80002	Alto de Pinheiros	2005	Mulheres	10 a 14	1098
80002	Alto de Pinheiros	2005	Mulheres	15 a 19	1392
80002	Alto de Pinheiros	2005	Mulheres	20 a 24	1914
80002	Alto de Pinheiros	2005	Mulheres	25 a 29	1927
80002	Alto de Pinheiros	2005	Mulheres	30 a 34	1910
80002	Alto de Pinheiros	2005	Mulheres	35 a 39	1860
80002	Alto de Pinheiros	2005	Mulheres	40 a 44	1814
80002	Alto de Pinheiros	2005	Mulheres	45 a 49	1926
80002	Alto de Pinheiros	2005	Mulheres	50 a 54	1778
80002	Alto de Pinheiros	2005	Mulheres	55 a 59	1559
80002	Alto de Pinheiros	2005	Mulheres	60 a 64	1410
80002	Alto de Pinheiros	2005	Mulheres	65 a 69	1101
80002	Alto de Pinheiros	2005	Mulheres	70 a 74	933
80002	Alto de Pinheiros	2005	Mulheres	75 e +	1703
80002	Alto de Pinheiros	2010	Homens	00 a 04	880
80002	Alto de Pinheiros	2010	Homens	05 a 09	908
80002	Alto de Pinheiros	2010	Homens	10 a 14	1051
80002	Alto de Pinheiros	2010	Homens	15 a 19	1201
80002	Alto de Pinheiros	2010	Homens	20 a 24	1404
80002	Alto de Pinheiros	2010	Homens	25 a 29	1446
80002	Alto de Pinheiros	2010	Homens	30 a 34	1620
80002	Alto de Pinheiros	2010	Homens	35 a 39	1368
80002	Alto de Pinheiros	2010	Homens	40 a 44	1324
80002	Alto de Pinheiros	2010	Homens	45 a 49	1503
80002	Alto de Pinheiros	2010	Homens	50 a 54	1366
80002	Alto de Pinheiros	2010	Homens	55 a 59	1291
80002	Alto de Pinheiros	2010	Homens	60 a 64	1063
80002	Alto de Pinheiros	2010	Homens	65 a 69	880
80002	Alto de Pinheiros	2010	Homens	70 a 74	835
80002	Alto de Pinheiros	2010	Homens	75 e +	1216
80002	Alto de Pinheiros	2010	Mulheres	00 a 04	886
80002	Alto de Pinheiros	2010	Mulheres	05 a 09	886
80002	Alto de Pinheiros	2010	Mulheres	10 a 14	979
80002	Alto de Pinheiros	2010	Mulheres	15 a 19	1137
80002	Alto de Pinheiros	2010	Mulheres	20 a 24	1538
80002	Alto de Pinheiros	2010	Mulheres	25 a 29	1732
80002	Alto de Pinheiros	2010	Mulheres	30 a 34	1936
80002	Alto de Pinheiros	2010	Mulheres	35 a 39	1713
80002	Alto de Pinheiros	2010	Mulheres	40 a 44	1711
80002	Alto de Pinheiros	2010	Mulheres	45 a 49	1952
80002	Alto de Pinheiros	2010	Mulheres	50 a 54	1808
80002	Alto de Pinheiros	2010	Mulheres	55 a 59	1672
80002	Alto de Pinheiros	2010	Mulheres	60 a 64	1497
80002	Alto de Pinheiros	2010	Mulheres	65 a 69	1197
80002	Alto de Pinheiros	2010	Mulheres	70 a 74	1043
80002	Alto de Pinheiros	2010	Mulheres	75 e +	2085
80002	Alto de Pinheiros	2015	Homens	00 a 04	907
80002	Alto de Pinheiros	2015	Homens	05 a 09	853
80002	Alto de Pinheiros	2015	Homens	10 a 14	883
80002	Alto de Pinheiros	2015	Homens	15 a 19	1041
80002	Alto de Pinheiros	2015	Homens	20 a 24	1228
80002	Alto de Pinheiros	2015	Homens	25 a 29	1407
80002	Alto de Pinheiros	2015	Homens	30 a 34	1405
80002	Alto de Pinheiros	2015	Homens	35 a 39	1565
80002	Alto de Pinheiros	2015	Homens	40 a 44	1317
80002	Alto de Pinheiros	2015	Homens	45 a 49	1273
80002	Alto de Pinheiros	2015	Homens	50 a 54	1448
80002	Alto de Pinheiros	2015	Homens	55 a 59	1305
80002	Alto de Pinheiros	2015	Homens	60 a 64	1218
80002	Alto de Pinheiros	2015	Homens	65 a 69	980
80002	Alto de Pinheiros	2015	Homens	70 a 74	786
80002	Alto de Pinheiros	2015	Homens	75 e +	1396
80002	Alto de Pinheiros	2015	Mulheres	00 a 04	862
80002	Alto de Pinheiros	2015	Mulheres	05 a 09	859
80002	Alto de Pinheiros	2015	Mulheres	10 a 14	862
80002	Alto de Pinheiros	2015	Mulheres	15 a 19	971
80002	Alto de Pinheiros	2015	Mulheres	20 a 24	1163
80002	Alto de Pinheiros	2015	Mulheres	25 a 29	1543
80002	Alto de Pinheiros	2015	Mulheres	30 a 34	1688
80002	Alto de Pinheiros	2015	Mulheres	35 a 39	1876
80002	Alto de Pinheiros	2015	Mulheres	40 a 44	1654
80002	Alto de Pinheiros	2015	Mulheres	45 a 49	1651
80002	Alto de Pinheiros	2015	Mulheres	50 a 54	1889
80002	Alto de Pinheiros	2015	Mulheres	55 a 59	1739
80002	Alto de Pinheiros	2015	Mulheres	60 a 64	1597
80002	Alto de Pinheiros	2015	Mulheres	65 a 69	1415
80002	Alto de Pinheiros	2015	Mulheres	70 a 74	1111
80002	Alto de Pinheiros	2015	Mulheres	75 e +	2221
80002	Alto de Pinheiros	2020	Homens	00 a 04	798
80002	Alto de Pinheiros	2020	Homens	05 a 09	881
80002	Alto de Pinheiros	2020	Homens	10 a 14	830
80002	Alto de Pinheiros	2020	Homens	15 a 19	879
80002	Alto de Pinheiros	2020	Homens	20 a 24	1067
80002	Alto de Pinheiros	2020	Homens	25 a 29	1235
